clean_text,label
teenage t rexs monster growth tyrannosaurus rex achieved its massive size due to an enormous growth spurt during its adolescent years,Sci/Tech
scientists discover ganymede has a lumpy interior jet propulsion lab  scientists have discovered irregular lumps beneath the icy surface of jupiters largest moon ganymede these irregular masses may be rock formations supported by ganymedes icy shell for billions of years,Sci/Tech
mars rovers relay images through mars express european space agency  esas mars express has relayed pictures from one of nasas mars rovers for the first time as part of a set of interplanetary networking demonstrations     the demonstrations pave the way for future mars missions to draw on joint interplanetary networking capabilities,Sci/Tech
rocking the cradle of life when did life begin one evidential clue stems from the fossil records in western australia although whether these layered sediments are biological or chemical has spawned a spirited debate oxford researcher nicola mcloughlin describes some of the issues in contention,Sci/Tech
storage servers bruise hp earnings update earnings per share rise compared with a year ago but company misses analysts expectations by a long shot,Sci/Tech
ibm to hire even more new workers by the end of the year the computing giant plans to have its biggest headcount since 1991,Sci/Tech
suns looking glass provides 3d view developers get early code for new operating system skin still being crafted,Sci/Tech
ibm chips may someday heal themselves new technology applies electrical fuses to help identify and repair faults,Sci/Tech
some people not eligible to get in on google ipo google has billed its ipo as a way for everyday people to get in on the process denying wall street the usual stranglehold its had on ipos public bidding a minimum of just five shares an open process with 28 underwriters  all this pointed to a new level of public participation but this isnt the case,Sci/Tech
rivals try to turn tables on charles schwab by michael liedtke     san francisco ap  with its low prices and iconoclastic attitude discount stock broker charles schwab corp sch represented an annoying stone in wall streets wingtipped shoes for decades,Sci/Tech
news sluggish movement on power grid cyber security industry cyber security standards fail to reach some of the most vulnerable components of the power grid,Sci/Tech
giddy phelps touches gold for first time michael phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 826 seconds,Sports
tougher rules wont soften laws game foxborough  looking at his ridiculously developed upper body with huge biceps and hardly an ounce of fat its easy to see why ty law arguably the best cornerback in football chooses physical play over finesse thats not to imply that hes lacking a finesse component because he can shut down his side of the field much as deion sanders ,Sports
shoppach doesnt appear ready to hit the next level with the weeks dwindling until jason varitek enters free agency the red sox continue to carefully monitor kelly shoppach  their catcher of the future in his climb toward the majors the sox like most of what they have seen at triple a pawtucket from shoppach though it remains highly uncertain whether he can make the adjustments at the plate ,Sports
mighty ortiz makes sure sox can rest easy just imagine what david ortiz could do on a good nights rest ortiz spent the night before last with his baby boy dangelo who is barely 1 month old he had planned on attending the red sox family day at fenway park yesterday morning but he had to sleep in after all ortiz had a son at home and he ,Sports
theyve caught his eye in  quothelping themselves quot ricky bryant chas gessner michael jennings and david patten did nothing friday night to make bill belichicks decision on what to do with his receivers any easier,Sports
indians mount charge the cleveland indians pulled within one game of the al central lead by beating the minnesota twins 71 saturday night with home runs by travis hafner and victor martinez,Sports
sister of man who died in vancouver police custody slams chief canadian press canadian press  vancouver cp  the sister of a man who died after a violent confrontation with police has demanded the citys chief constable resign for defending the officer involved,World
man sought  3650m from mcgreevey aides say ap ap  the man who claims gov james e mcgreevey sexually harassed him was pushing for a cash settlement of up to  3650 million before the governor decided to announce that he was gay and had an extramarital affair sources told the associated press,World
explosions echo throughout najaf najaf iraq  explosions and gunfire rattled through the city of najaf as us troops in armored vehicles and tanks rolled back into the streets here sunday a day after the collapse of talks  and with them a temporary ceasefire  intended to end the fighting in this holy city,World
frail pope celebrates mass at lourdes lourdes france  a frail pope john paul ii breathing heavily and gasping at times celebrated an openair mass on sunday for several hundred thousand pilgrims many in wheelchairs at a shrine to the virgin mary that is associated with miraculous cures    at one point he said help me in polish while struggling through his homily in french,World
venezuela prepares for chavez recall vote supporters and rivals warn of possible fraud government says chavezs defeat could produce turmoil in world oil market,World
1994 law designed to preserve guard jobs ap ap  a 1994 law strengthened job protections for national guard and reserve troops called to active duty here are major provisions of the uniformed services employment and reemployment rights act userra,World
iran warns its missiles can hit anywhere in israel  tehran reuters  a senior iranian military official said  sunday israel and the united states would not dare attack iran  since it could strike back anywhere in israel with its latest  missiles news agencies reported,World
afghan army dispatched to calm violence kabul afghanistan  government troops intervened in afghanistans latest outbreak of deadly fighting between warlords flying from the capital to the far west on us and nato airplanes to retake an air base contested in the violence officials said sunday,World
johnson helps dbacks end ninegame slide ap ap  randy johnson took a fourhitter into the ninth inning to help the arizona diamondbacks end a ninegame losing streak sunday beating steve trachsel and the new york mets 20,Sports
retailers vie for backtoschool buyers reuters reuters  apparel retailers are hoping theirbacktoschool fashions will make the grade amongstyleconscious teens and young adults this fall but it couldbe a tough sell with students and parents keeping a tighterhold on their wallets,Business
politics an afterthought amid hurricane ap ap  if hurricane charley had struck three years ago president bushs tour through the wreckage of this coastal city would have been just the sort of postdisaster visit that other presidents have made to the scenes of storms earthquakes floods and fires,World
spam suspension hits sohucom shares ftcom ftcom  shares in sohucom a leading uslisted chinese internet portal fell more than 10 per cent on friday after chinas biggest mobile phone network operator imposed a oneyear suspension on its multimedia messaging services because of customers being sent spam,Sci/Tech
erstads double lifts angels to win ap ap  darin erstad doubled in the goahead run in the eighth inning lifting the anaheim angels to a 32 victory over the detroit tigers on sunday the win pulled anaheim within a percentage point of boston and texas in the al wildcard race,Sports
drew out of braves lineup after injury ap ap  outfielder jd drew missed the atlanta braves game against the st louis cardinals on sunday night with a sore right quadriceps,Sports
venezuelans flood polls voting extended  caracas venezuela reuters  venezuelans voted in huge  numbers on sunday in a historic referendum on whether to recall  leftwing president hugo chavez and electoral authorities  prolonged voting well into the night,World
dell exits lowend china consumer pc market  hong kong reuters  dell inc ltdellogt the worlds  largest pc maker said on monday it has left the lowend  consumer pc market in china and cut its overall growth target  for the country this year due to stiff competition in the  segment,Sci/Tech
china says taiwan spy also operated in us  media  beijing reuters  beijing on monday accused a  chineseamerican arrested for spying for taiwan of building an  espionage network in the united states and said he could go on  trial very soon,World
another major nonfactor another major another disappointment for tiger woods the no 1 ranked player in the world who has not won a major championship since his triumph at the 2002 us open,Sports
us fighter squadron to be deployed in south korea next month afp afp  a squadron of us air force f15e fighters based in alaska will fly to south korea next month for temporary deployment aimed at enhancing us firepower on the korean peninsula us authorities said,World
johnson back to his best as dbacks end streak  new york reuters  randy johnson struck out 14 batters in  8 13 innings to help the arizona diamondbacks end a ninegame  losing streak with a 20 win over the host new york mets in the  national league sunday,Sports
restive maldives eases curfew after rounding up dissidents afp afp  a curfew in the capital of the maldives was eased but parliament sessions were put off indefinitely and emergency rule continued following last weeks riots officials and residents said,World
vodafone hires citi for cesky bid thedealcom thedealcom  the uk mobile giant wants to find a way to disentagle the czech wireless and fixedline businesses,Sci/Tech
dollar briefly hits 4wk low vs euro  london reuters  the dollar dipped to a fourweek low  against the euro on monday before rising slightly on  profittaking but steep oil prices and weak us data  continued to fan worries about the health of the worlds  largest economy,Business
promoting a shared vision as michael kaleko kept running into people who were getting older and having more vision problems he realized he could do something about it,Sci/Tech
indias tata expands regional footprint via natsteel buyout afp afp  indias tata iron and steel company ltd took a strategic step to expand its asian footprint with the announcement it will buy the asiapacific steel operations of singapores natsteel ltd,World
delegates urge cleric to pull out of najaf baghdad iraq  delegates at iraqs national conference called on radical shiite cleric muqtada alsadr to abandon his uprising against us and iraqi troops and pull his fighters out of a holy shrine in najaf,World
treasuries slip as stocks rally  new york reuters  us treasury debt prices slipped on  monday though traders characterized the move as profittaking  rather than any fundamental change in sentiment,Business
dollar rises vs euro on asset flows data  new york reuters  the dollar extended gains against the  euro on monday after a report on flows into us assets showed  enough of a rise in foreign investments to offset the current  account gap for the month,Business
sutton adds haas cink to ryder cup team  milwaukee sports network  us ryder cup captain hal  sutton finalized his team on monday when he announced the  selections of jay haas and stewart cink as his captains picks,Sports
haas and cink selected for ryder cup team jay haas joined stewart cink as the two captains picks for a us team that will try to regain the cup from europe next month,Sports
natalie coughlin wins 100m backstroke ap ap  american natalie coughlin won olympic gold in the 100meter backstroke monday night coughlin the only woman ever to swim under 1 minute in the event finished first in 1 minute 037 seconds kirsty coventry of zimbabwe who swims at auburn university in alabama earned the silver in 10050 laure manaudou of france took bronze in 10088,Sports
oracle overhauls salesside apps for crm suite newsfactor newsfactor  oracle nasdaq orcl has revamped its salesside crm applications in version 11i10 of its sales marketing partner relationship management and ecommerce application,Sci/Tech
un launches 210milliondollar appeal for floodhit bangladesh afp afp  the united nations launched an appeal here for 210 million dollars to help flood victims facing grave food shortages after twothirds of bangladesh was submerged destroying crops and killing more than 700 people,World
indian state rolls out wireless broadband government in south indian state of kerala sets up wireless kiosks as part of initiative to bridge digital divide,Sci/Tech
hurricane survivors wait for water gas punta gorda fla  urban rescue teams insurance adjusters and national guard troops scattered across florida monday to help victims of hurricane charley and deliver water and other supplies to thousands of people left homeless,World
jackson squares off with prosecutor santa maria calif  fans of michael jackson erupted in cheers monday as the pop star emerged from a doubledecker tour bus and went into court for a showdown with the prosecutor who has pursued him for years on child molestation charges,World
bobcats trade drobnjak to hawks for pick ap ap  the charlotte bobcats traded center predrag drobnjak to the atlanta hawks on monday for a second round pick in the 2005 nba draft,Sports
suspect charged in abduction sexual assault of 11yearold girl canadian press canadian press  langley bc cp  police have arrested a man in the kidnapping and sexual assault of an 11yearold girl that frightened this suburban vancouver community last week,World
chinas red flag linux to focus on enterprise red flag software co the company behind chinas leading linux client distribution plans to focus more on its server operating system and enterprise customers the companys acting president said,Sci/Tech
aol properties sign girafa for thumbnail search images aol properties sign girafa for thumbnail search imagesgirafacom inc announced today that the compuserve netscape aim and icq properties of america online inc have signed an agreement with girafa to use girafas thumbnail search images as an integrated part of their search resultsusing girafas thumbnail search service search users can ,Sci/Tech
cassini spies two little saturn moons ap ap  nasas cassini spacecraft has spied two new little moons around satelliterich saturn the space agency said monday,Sci/Tech
on front line of aids in russia an industrial city northwest of moscow struggles as aids hits a broader population,World
nobel laureate decries stem cell limits ap ap  a nobel laureate in medicine said monday the bush administrations limits on funding for embryonic stem cell research effectively have stopped the clock on american scientists efforts to develop treatments for a host of chronic debilitating diseases,Sci/Tech
jury can hear of kobe accusers sex life ap ap  prosecutors suffered another setback monday in the kobe bryant sexual assault case losing a lastditch attempt to keep the nba stars lawyers from telling jurors about the alleged victims sex life,Sports
north korea talks still on china tells downer reuters reuters  china has said no date has been set forworkinglevel talks on the north korean nuclear crisis and gaveno indication that the meeting has been canceled australianforeign minister alexander downer said on tuesday,World
griffin to anchor dline the redskins expect huge things from 300pound cornelius griffin who was signed to aid the teams weakest unit  the defensive line,Sports
last american defector in north korea agrees to tell story afp afp  the last surviving american defector to communist north korea wants to tell his story to put a human face on the stalinist state which he believes is unfairly vilified abroad british filmmakers said,World
live olympics day four richard faulds and stephen parry are going for gold for great britain on day four in athens,World
kerry widens lead in california poll finds reuters reuters  democratic challenger john kerryhas a commanding lead over president bush in california of 54percent to 38 percent among likely voters a poll released ontuesday found,World
capacity crowds at beach volleyball rock the joint  athens reuters  at the beach volleyball the 2004  olympics is a sellout footstomping success,Sports
dollar near recent lows awaits zewcpi  london reuters  the dollar held steady near this weeks  fourweek low against the euro on tuesday with investors  awaiting a german investor confidence survey and us consumer  inflation numbers to shed light on the direction,Business
intel to delay product aimed for highdefinition tvs san francisco  in the latest of a series of product delays intel corp has postponed the launch of a video display chip it had previously planned to introduce by year end putting off a showdown with texas instruments inc in the fastgrowing market for highdefinition television displays,Business
venezuela vote keeps chavez as president caracas  venezuelans voted resoundingly to keep firebrand populist hugo chavez as their president in a victory that drew noisy reactions yesterday from both sides in the streets international observers certified the results as clean and accurate,World
jailing of hk democrat in china politically motivated afp afp  hong kong democrats accused china of jailing one of their members on trumpedup prostitution charges in a bid to disgrace a political movement beijing has been feuding with for seven years,World
kmart swings to profit in 2q stock surges ap ap  shares of kmart holding corp surged 17 percent monday after the discount retailer reported a profit for the second quarter and said chairman and majority owner edward lampert is now free to invest the companys  3626 billion in surplus cash,Business
fischers fiancee marriage plans genuine ap ap  former chess champion bobby fischers announcement thathe is engaged to a japanese woman could win him sympathy among japanese officials and help him avoid deportation to the united states his fiancee and one of his supporters said tuesday,World
us misses cut in olympic 100 free athens greece  top american sprinters jason lezak and ian crocker missed the cut in the olympic 100meter freestyle preliminaries tuesday a stunning blow for a country that had always done well in the event    pieter van den hoogenband of the netherlands and australian ian thorpe advanced to the evening semifinal a day after dueling teenager michael phelps in the 200 freestyle won by thorpe,World
consumers would pay in phone proposal a proposal backed by a coalition of telephone carriers would cut billions of dollars in fees owed by longdistance companies to regional phone giants but would allow the regional companies to make up some of the difference by raising monthly phone bills for millions of consumers ltfont faceverdanams sans serifarialhelvetica size2 color666666gtltbgtthe washington postltbgtltfontgt,Sci/Tech
us brokers ceasefire in western afghanistan  kabul reuters  the united states has brokered a  ceasefire between a renegade afghan militia leader and the  embattled governor of the western province of herat  washingtons envoy to kabul said tuesday,World
sneaky credit card tactics keep an eye on your credit card issuers  they may be about to raise your rates,Business
intel delays launch of projection tv chip in another product postponement semiconductor giant intel corp said it wont be offering a chip for projection tvs by the end of 2004 as it had announced earlier this year,Sci/Tech
fund pessimism grows new york cnnmoney  money managers are growing more pessimistic about the economy corporate profits and us stock market returns according to a monthly survey by merrill lynch released tuesday ,Business
kederis proclaims innocence olympic champion kostas kederis today left hospital ahead of his date with ioc inquisitors claiming his innocence and vowing  quotafter the crucifixion comes the resurrection quot ,Sports
eriksson doesn 39t feel any extra pressure following scandal newcastle england ap  england coach svengoran eriksson said tuesday he isn 39t under any extra pressure in the aftermath of a scandal that damaged the football association 39s reputation ,Sports
injured heskey to miss england friendly newcastle england ap  striker emile heskey has pulled out of the england squad ahead of wednesday 39s friendly against ukraine because of a tight hamstring the football association said tuesday ,Sports
staples profit up to enter china market  new york reuters  staples inc lta hrefhttpwwwinvestorreuterscomfullquoteaspxtickersplso targetstocksquickinfofullquotegtsplsoltagt the top us  office products retailer on tuesday reported a 39 percent jump  in quarterly profit raised its fullyear forecast and said it  plans to enter the fastgrowing chinese market sending its  shares higher,Business
delegation is delayed before reaching najaf aghdad iraq aug 17  a delegation of iraqis was delayed for security reasons today but still intended to visit najaf to try to convince a rebellious shiite cleric and his militia to evacuate a shrine in the holy city and end ,World
consumer prices down industry output up  washington reuters  us consumer prices dropped in july  for the first time in eight months as a sharp run up in energy  costs reversed the government said in a report that suggested  a slow rate of interest rate hikes is likely,Business
olympic history for india uae an indian army major shot his way to his country 39s first ever individual olympic silver medal on tuesday while in the same event an member of dubai 39s ruling family became the first ever medallist from the united arab emirates ,Sports
home depot likes high oil rising fuel prices a bugbear for most of the retail sector are helping home depot hdnyse  news  research the remodeling giant that reported a surge in secondquarter earnings tuesday and guided the rest of the year higher ,Business
china cracks down on  quotphone sex quot services beijing aug 17 xinhuanet  china is carrying out a nationwide campaign to crack down on  quotphone sex quot services paralleling another sweeping operation against internet pornography minister of information industry wang xudong said here tuesday ,Sci/Tech
surviving biotechs downturns charly travers offers advice on withstanding the volatility of the biotech sector,Business
mr downer shoots his mouth off just what alexander downer was thinking when he declared on radio last friday that  quotthey could fire a missile from north korea to sydney quot is unclear the provocative remark just days before his arrival yesterday on his second visit to the north korean ,World
edwards banned from games  source  athens reuters  world 100 meters champion torri edwards  will miss the athens olympics after her appeal against a  twoyear drugs ban was dismissed on tuesday a source told  reuters,Sports
stocks climb on drop in consumer prices new york  stocks rose for a second straight session tuesday as a drop in consumer prices allowed investors to put aside worries about inflation at least for the short term    with gasoline prices falling to eightmonth lows the consumer price index registered a small drop in july giving consumers a respite from soaring energy prices,World
iliadis tanimoto win judo golds ilias iliadis of greece thrilled the home crowd tuesday beating roman gontyuk of ukraine to win the gold medal in the 81kilogram class ,Sports
sudan vows to restore order to darfur but calls for african peacekeepers afp afp  sudan will take the lead in restoring order to its rebellious darfur region but needs the support of african peacekeepers and humanitarian aid foreign minister mustafa osman ismail said,World
tgn sync proposes new wlan standard the battle over home entertainment networking is heating up as a coalition proposes yet another standard for the ieee 39s consideration ,Sci/Tech
yahoo ups ante for small businesses web giant yahoo is gambling that price cuts on its domain name registration and web hosting products will make it more competitive with discounters in the space  which means that small businesses looking to move online get a sweeter deal through ,Business
ibm buys two danish services firms ibm said tuesday it has acquired a pair of danish it services firms as part of its effort to broaden its presence in scandinavia as a result of the moves ibm will add about 3700 it staffers to its global head count financial terms of ,Sci/Tech
motorola and hp in linux tieup motorola plans to sell mobile phone network equipment that uses linuxbased code a step forward in network gear makers 39 efforts to rally around a standard ,Sci/Tech
microsoft pushes off sp2 release microsoft will delay the release of its sp2 update for another week to fix software glitches but not everyone is quite so eager to install the sp2 update for windows xp in fact many companies have demanded the ability to prevent their ,Sci/Tech
cassini space probe spots two new saturn moons reuters reuters  two new moons were spotted aroundsaturn by the cassini space probe raising the total to 33moons for the ringed planet nasa said on monday,Sci/Tech
buckeyes have lots to replace but are brimming with optimism there are remarkable similarities between the 2004 ohio state buckeyes and those that won the national championship just two years ago ,Sports
ibm adds midrange server to eserver lineup the new ibm power5 eserver i5 550 also features higher performance and new virtualization capabilities that allow it to run multiple operating systems at once on separate partitions,Sci/Tech
ipod comparison newsday 146s stephen williams reports on seeing sony 146s nwhd1 audio player in a store  147 145how 146s it compare to the ipod 146 i asked a salesman  145battery life is a lot longer up to 30 hours 146 he said  145the lcd readout is kind of dim 146 i said   146battery life is a lot longer 146 he said  145i understand it can 146t play mp3 files 146 i said  145battery life is a lot longer 146 he said 148 aug 17,Sci/Tech
mills grabs 1b portfolio taubman likely to lose contracts mills corp agreed to purchase a 50 percent interest in nine malls owned by general motors asset management corp for just over 1 billion creating a new joint venture between the groups the deal will extend ,Business
women stumble to silver athens  the mistakes were so minor carly patterson 39s foot scraping the lower of the uneven bars courtney kupets 39 tumbling pass that ended here instead of there mohini bhardwaj 39s slight stumble on the beam ,Sports
oil prices bubble to record high the price of oil has continued its sharp rise overnight closing at a record high the main contract in new york light sweet crude for delivery next month has closed at a record us4675 a barrel  up 70 cents on yesterday 39s close ,World
notable quotes tuesday at the athens olympics  quotit hurt like hell i could see thorpe coming up but when i was breathing i saw my team going crazy  and that really kept me going quot ,Sports
amd ships notebook chips it wasn 39t the first to go small and it won 39t be the biggest producer but amd 39s quote chart 64bit 90nanometer nm chips are expected to make waves in the semiconductor pool ,Sci/Tech
uk charges 8 in terror plot linked to alert in us london august 17 britain charged eight terror suspects on tuesday with conspiracy to commit murder and said one had plans that could be used in striking us buildings that were the focus of security scares this month ,World
ibm seeks to have sco claims dismissed newsfactor newsfactor  ibm nyse ibm has  again  sought to have the pending legal claims by the sco group dismissed according to a motion it filed in a us district court ibm argues that sco has no evidence to support its claims that it appropriated confidential source code from unix system v and placed it in linux,Sci/Tech
suvs live and let die new york  the newly released traffic crash fatality data have something for everyone in the debate about the safety of sport utility vehicles ,Business
security scare as intruder dives in a canadian husband 39s love for his wife has led to a tightening of security at all olympic venues in athens ,Sports
team usa barely wins but struggles not all players 39 fault now that everybody in and around usa basketball has breathed a huge sigh of relief let 39s not get carried away ,Sports
upi newstrack sports  the united states men 39s basketball team capped off a big day for the usa by fighting off greece for a vital win 7771  quotthey played with heart quot said coach larry brown  quotthat 39s all you can ask quot ,Sports
peace delegation leaves najaf emptyhanded as fighting continues baghdad iraq  a national political conference 39s bid to end the fighting in the shiite muslim holy city of najaf appeared to have failed tuesday ,World
georgian president calls for international conference on south ossetia tbilisi georgia  georgian president mikhail saakashvili appealed to world leaders tuesday to convene an international conference on the conflict in breakaway south ossetia where daily exchanges of gunfire threaten to spark ,World
shelling shooting resumes in breakaway georgian region afp afp  georgian and south ossetian forces overnight accused each other of trying to storm the other sides positions in georgias breakaway region of south ossetia as four georgian soldiers were reported to be wounded,World
youkilis mccarty placed on 15day disabled list boston  it was another busy day on the medical front for the red sox as a series of roster moves were announced prior to tuesday night 39s game against the blue jays ,Sports
kerrykerrey confusion trips up campaign ap ap  john kerry bob kerrey its easy to get confused,World
former florida swimming coach dies at 83 ap ap  william h harlan the retired university of florida swimming coach who led the gators to eight conference titles died tuesday school officials said he was 83,Sports
us men have right touch in relay duel against australia thens aug 17  so michael phelps is not going to match the seven gold medals won by mark spitz and it is too early to tell if he will match aleksandr dityatin the soviet gymnast who won eight total medals in 1980 but those were not the ,Sports
schrder adopts russian orphan threeyearold victoria from st petersburg has been living at the schrders 39 family home in hanover in northern germany for several weeks ,World
cabrera leads red sox past blue jays 54 ap ap  orlando cabrera hit a runscoring double off the green monster in the ninth inning on reliever justin speiers second pitch of the game giving the boston red sox a 54 win over the toronto blue jays on tuesday night,Sports
united arab emirates trap shooter secures nation 39s first olympic gold sheik ahmed bin hashr almaktoum earned the firstever olympic medal for the united arab emirates when he took home the gold medal in men 39s double trap shooting on tuesday in athens ,Sports
sharon orders 1000 homes in west bank israel announced plans for 1000 houses in the west bank yesterday accelerating the expansion of the settlements ,World
so cal player investigated in sex assault ap ap  at least one member of the topranked southern california football team is under investigation for sexual assault the los angeles police department said tuesday,Sports
bush promotes his plan for missile defense system president bush in pennsylvania said that opponents of a missile defense system were putting the nations security at risk,World
china sighs in relief as yao scores high beijing reuters  china breathed a measured sigh of relief after the skills of its basketball giant yao ming dwarfed new zealand to sweep his team nearer to their goal of reaching the athens olympics semifinals ,Sports
israelis ok new homes in west bank a leaked israeli plan to build 1000 new jewish settler homes in the west bank yesterday sent bush administration officials scrambling for a response in the sensitive period before november 39s presidential election ,World
britain accuses 8 of terror plot london  british police charged eight terrorist suspects yesterday with conspiring to commit murder and use radioactive materials toxic gases chemicals or explosives to cause  quotfear or injury quot ,World
israel kills 5 in strike at hamas activist islamic group 39s armed wing the izz eldeen alqassam brigades doctors said he suffered leg wounds ,World
zambrano out early so are mets enver aug 17  victor zambrano came to the mets with radical movement on his pitches fixable flaws in his delivery and a curious sore spot lingering around his right elbow ,Sports
dollar stuck cpi offers little direction  tokyo reuters  the dollar moved in tight ranges on  wednesday as most investors shrugged off lowerthanexpected  us inflation data and stuck to the view the us federal  reserve would continue raising rates,Business
st louis cardinals news righthander matt morris threw seven solid innings but the cardinals needed a basesloaded walk to second baseman tony womack and a grand slam from new right fielder larry walker to key a sixrun eighth inning for a ,Sports
greek sprinters arrive at ioc hearing athens reuters  greek sprinters costas kenteris and katerina thanou have arrived at an athens hotel for an international olympic committee ioc hearing into their missed doped tests a saga that has shamed and angered the olympic host ,Sports
flop in the ninth inning sinks jays boston  the toronto blue jays have had worse hitting games this season against lesser pitchers than pedro martinez ,Sports
fresh fighting shatters shortlived ceasefire deal renewed clashes in south ossetia which resulted in death of two georgian soldiers erupted late on august 17 several hours after the south ossetian and georgian officials agreed on ceasefire as a result tbilisi has already announced that it will not ,World
hamm hopes to get on a roll paul hamm takes another shot at history tonight when hell try to become the first american to win the olympic mens allaround in gymnastics,Sports
karzai promises afghans security for election reuters reuters  afghanistans president hamid karzaipromised afghans greater security when they go to vote in thecountrys first ever democratic election during an independenceday speech on wednesday,World
google lowers its ipo price range san jose calif  in a sign that google incs initial public offering isnt as popular as expected the company lowered its estimated price range to between 85 and 95 per share down from the earlier prediction of 108 and 135 per share,World
future doctors crossing borders students at the mount sinai school of medicine learn that diet and culture shape health in east harlem,World
oil sets new record 47 on iraq threat  london reuters  oil prices surged to a new high of 47 a  barrel on wednesday after a new threat by rebel militia against  iraqi oil facilities and as the united states said inflation  had stayed in check despite rising energy costs,Business
greek sprinters quit to end games scandal athens reuters  greece 39s two top athletes have pulled out of the athens olympics and apologised to the greek people for a scandal over missed dope tests that has tarnished the games 39 return to their birthplace ,Sports
phelps eyes fourth gold  athens reuters  a weary michael phelps targeted his  fourth olympic gold medal in athens turning his attention on  wednesday to the 200 meters individual medley and settling for  the secondfastest overall time in the heats,Sports
israel kills 5 in attempt to assassinate hamas man  gaza reuters  a senior hamas leader survived an israeli  assassination attempt in the gaza strip wednesday but at least  five other palestinians were killed in the explosion that tore  through his home,World
giants win 6th straight but schmidt is injured san francisco  with the first doubleheader at sbc park set to go off today already stood to be a long workday for the giants it will come on the heels of an even longer night ,Sports
sec may put end to quid pro quo usatodaycom usatodaycom  the securities and exchange commission is expected to vote wednesday to prohibit mutual fund companies from funneling stock trades to brokerage firms that agree to promote their funds to investors,Business
real targets ipod with download price cut realnetworks has kicked off what it claims is the biggest online music sale in history for a limited time every song in the firm 39s realplayer music store can be downloaded for 49 cents with most albums available for 499 ,Sci/Tech
philippine rebels free troops talks in doubt  presentacion philippines reuters  philippine communist  rebels freed wednesday two soldiers they had held as prisoners  of war for more than five months saying they wanted to  rebuild confidence in peace talks with the government,World
british terror suspects make first court appearance  london reuters  british terror suspects charged in a  plot linked to security alerts at financial targets in new  york new jersey and washington made their first court  appearance wednesday inside a high security prison,World
